品名,地區,判定係數
椰子,台北二,0.4609506760180826
棗子,台北二,0.9380424772076537
釋迦,台北二,0.9382969736518794
草莓,台北二,0.8236242597262621
百香果,台北二,0.749286122234313
小番茄,台北二,0.6449223603215305
火龍果,台北二,0.851982308646545
櫻桃,台北二,0.6856100316392487
榴槤,台北二,0.9109922045865079
其他,台北二,0.6100781958845051
香蕉,台北二,0.8801369712731487
鳳梨,台北二,0.794721986943516
椪柑,台北二,0.6005615454259617
茂谷柑,台北二,0.9191441433588176
紅柑,台北二,0.8169768337427565
佛利檬,台北二,0.8465374199135942
桶柑,台北二,0.7403036285027056
甜橙,台北二,0.728598039983355
雜柑,台北二,0.18145356181090988
黃秋葵,台北二,0.9380729142948678
花椰菜,台北二,0.6163343783298755
胡瓜,台北二,0.9108870036364679
花胡瓜,台北二,0.835304805913125
冬瓜,台北二,0.7158255181880919
絲瓜,台北二,0.5684394192808395
苦瓜,台北二,0.7912585667405269
扁蒲,台北二,0.7445345716427975
茄子,台北二,0.6479922990371987
蕃茄,台北二,0.7765340410699513
甜椒,台北二,0.5847172685915563
豌豆,台北二,0.8171460765943404
菜豆,台北二,0.8699320473829996
敏豆,台北二,0.7528544920175497
萊豆,台北二,0.8598883905108248
毛豆,台北二,0.8951768097645444
青花苔,台北二,0.7695601303571258
南瓜,台北二,0.5719306339247432
隼人瓜,台北二,0.757299656501011
石蓮花,台北二,0.8560427671888389
辣椒,台北二,0.5791762571166702
洛神花,台北二,0.8514184846066766
虎豆,台北二,0.8406932206685003
玉米,台北二,0.33138336215586184
落花生,台北二,0.9334959750132346
蛋黃果,台北二,0.5620215575576277
黃金果,台北二,0.9314361765725412
酪梨,台北二,0.9184182859979214
奇異果,台北二,0.9203346234818897
橄欖,台北二,0.8972209694751395
波羅蜜,台北二,0.7884689480005358
葡萄柚,台北二,0.4405880260827568
木瓜,台北二,0.6363361467160011
龍眼,台北二,0.7414494132259797
甘藍,台北二,0.5072511777007921
小白菜,台北二,0.7207272316465859
包心白菜,台北二,0.4216169363740273
包心白,台北二,0.8647225489474575
青江白菜,台北二,0.8206829656117153
皇宮菜,台北二,0.8099887792109643
蕹菜,台北二,0.8320004113466295
芹菜,台北二,0.5344818700187792
菠菜,台北二,0.5831937998672704
萵苣菜,台北二,0.4781028168165642
芥菜,台北二,0.6207097109506301
芥藍菜,台北二,0.6729357572258629
茼蒿,台北二,0.8507707679305596
莧菜,台北二,0.9132710050759623
油菜,台北二,0.733499367832657
甘藷葉,台北二,0.8949762050866752
芫荽,台北二,0.8829763018411282
九層塔,台北二,0.8316811612242397
羅勒,台北二,0.6160810416785019
紅鳳菜,台北二,0.9274197379262898
茴香,台北二,0.9223057459422321
海菜,台北二,0.9234732606924316
巴西利,台北二,0.7224529664799832
蕨菜,台北二,0.7104741233192393
藤川七,台北二,0.8576447743471569
楊桃,台北二,0.8904311234498693
洋菇,台北二,0.8880440787541561
草菇,台北二,0.9923312711809897
濕木耳,台北二,0.883201126850641
溼香菇,台北二,0.9774996296896319
金絲菇,台北二,0.7224009169402453
蠔菇,台北二,0.8547349159314236
巴西蘑菇,台北二,0.8877433233121292
秀珍菇,台北二,0.8539409147718295
杏鮑菇,台北二,0.9824413779971581
鴻禧菇,台北二,0.863901632508354
珊瑚菇,台北二,0.7888127335668008
猴頭菇,台北二,0.5723440024345534
柳松菇,台北二,0.8655148813377584
其他菇類,台北二,0.9260060307040844
梨,台北二,0.7542269652783387
鹹菜,台北二,0.9918676127342455
蘿蔔乾,台北二,-2.220446049250313e-16
熟筍,台北二,0.9518088069612124
其他蔬菜,台北二,0.985052290518855
番石榴,台北二,0.7968470107667898
蓮霧,台北二,0.4678780446802906
芒果,台北二,0.5414269613815059
葡萄,台北二,0.3671666389853502
蘿蔔,台北二,0.5390574769596543
胡蘿蔔,台北二,0.8250350540148411
馬鈴薯,台北二,0.8700675891166675
洋蔥,台北二,0.9577561293759171
青蔥,台北二,0.623006043207929
韭菜,台北二,0.9325305670696049
大蒜,台北二,0.7354966024938174
竹筍,台北二,0.42232125592212455
萵苣莖,台北二,0.8166454010662646
芋,台北二,0.7498724429279253
荸薺,台北二,0.9978494977659039
豆薯,台北二,0.8881555385971196
牛蒡,台北二,0.935038632537043
蓮藕,台北二,0.9249126029333674
甘薯,台北二,0.7818965630719246
薑,台北二,0.6887733634351354
茭白筍,台北二,0.8788776865929826
菱角,台北二,0.9498614912899238
大心菜,台北二,0.8406697568592498
薯蕷,台北二,0.5654954438732618
蘆筍,台北二,0.9033302494592991
球莖甘藍,台北二,0.9262465546809105
芽菜類,台北二,0.9831521006256012
金針筍,台北二,0.7601958375675497
百合,台北二,0.0
晚香玉筍,台北二,0.8915919605860173
甜瓜,台北二,0.6082124694221362
洋香瓜,台北二,0.2527072150558113
蘋果,台北二,0.6247869374680157
柿子,台北二,0.3589601199806728
柿餅,台北二,0.9178742839284679
椰子,台北一,0.6497184014747062
棗子,台北一,0.935833921080278
釋迦,台北一,0.9018238945608719
草莓,台北一,0.8752351274334814
百香果,台北一,0.8373101208099026
甘蔗,台北一,3.3306690738754696e-16
小番茄,台北一,0.6089444552749643
火龍果,台北一,0.9147785485209801
櫻桃,台北一,0.8708268358391205
石榴,台北一,0.9567945047749307
榴槤,台北一,0.8919171601712107
其他,台北一,0.7847795105141906
香蕉,台北一,0.9028414654698137
鳳梨,台北一,0.8537885688799866
椪柑,台北一,0.905662274634835
茂谷柑,台北一,0.9256218750835319
紅柑,台北一,0.8620477874643402
佛利檬,台北一,0.7775838989879943
桶柑,台北一,0.8636888484747329
海梨,台北一,0.7279828770793957
甜橙,台北一,0.8376915902417758
雜柑,台北一,0.32975150116518603
其他花類,台北一,-2.220446049250313e-16
黃秋葵,台北一,0.9467199670809172
花椰菜,台北一,0.5820250349495848
胡瓜,台北一,0.8842191274908939
花胡瓜,台北一,0.872681309154987
冬瓜,台北一,0.7504815132170286
絲瓜,台北一,0.622231183589278
苦瓜,台北一,0.7164512223369968
扁蒲,台北一,0.73536292235039
茄子,台北一,0.7540790118353475
蕃茄,台北一,0.6585266298198538
甜椒,台北一,0.6215698514289759
豌豆,台北一,0.8299746959519874
菜豆,台北一,0.8935891626408866
敏豆,台北一,0.8321504679145713
萊豆,台北一,0.874450737307011
鵲豆,台北一,0.9431114824004755
毛豆,台北一,0.9723298561612991
青花苔,台北一,0.8193641277979925
南瓜,台北一,0.5065571554524101
隼人瓜,台北一,0.6471750960177032
石蓮花,台北一,0.8435049548841723
辣椒,台北一,0.5602520134891147
虎豆,台北一,0.845220706563936
玉米,台北一,0.3916316529621636
落花生,台北一,0.9497536212016924
酪梨,台北一,0.9031918620059437
奇異果,台北一,0.9254849661999256
香櫞,台北一,0.9189908069492555
橄欖,台北一,0.6789763323188918
葡萄柚,台北一,0.6681145766515724
木瓜,台北一,0.7781753710015861
龍眼,台北一,0.7960831981318461
甘藍,台北一,0.5231431101697916
小白菜,台北一,0.7533894487269481
包心白菜,台北一,0.843195497108642
包心白,台北一,0.9141422511955559
青江白菜,台北一,0.7508767960389009
皇宮菜,台北一,0.7547558604393259
蕹菜,台北一,0.8127966566746105
芹菜,台北一,0.6252373360145898
菠菜,台北一,0.6237246126376663
萵苣菜,台北一,0.660717641298942
芥菜,台北一,0.6015841763966037
芥藍菜,台北一,0.7941457415731179
茼蒿,台北一,0.8118260760361484
莧菜,台北一,0.8614805691606751
油菜,台北一,0.7680276020445063
甘藷葉,台北一,0.8865684182815461
芫荽,台北一,0.890822155356038
九層塔,台北一,0.9261291218044149
羅勒,台北一,0.8724253960414666
紅鳳菜,台北一,0.9550035968743678
塌棵菜,台北一,0.9953471655719666
茴香,台北一,0.9535690688063171
海菜,台北一,0.9298504566155535
菾菜,台北一,0.6379732929975752
巴西利,台北一,0.5766315371186486
蕨菜,台北一,0.8786570798138525
西洋菜,台北一,-inf
藤川七,台北一,0.8836530284411225
楊桃,台北一,0.8046796361898976
洋菇,台北一,0.9074342946466238
草菇,台北一,0.9853666780226545
濕木耳,台北一,0.9103548295948525
溼香菇,台北一,0.9909809016058875
金絲菇,台北一,0.912033772539696
蠔菇,台北一,0.9508402843604108
巴西蘑菇,台北一,0.9592160590151494
秀珍菇,台北一,0.9425931587690831
杏鮑菇,台北一,0.9212274762234602
鴻禧菇,台北一,0.680823035873631
珊瑚菇,台北一,0.7147295681763819
猴頭菇,台北一,0.7990394686363546
柳松菇,台北一,0.9629586972233305
其他菇類,台北一,0.9577432330892856
李,台北一,0.7611428264437711
梨,台北一,0.1910616778613634
鹹菜,台北一,-2.220446049250313e-16
雪裡紅,台北一,0.9789054983943023
其他蔬菜,台北一,0.98217862385063
蘿蔔乾,台北一,0.0
醃瓜,台北一,0.9943841489602819
熟筍,台北一,0.9641120356479816
桶筍,台北一,0.956112588828743
筍茸,台北一,-8.881784197001252e-16
朴菜,台北一,3.3306690738754696e-16
番石榴,台北一,0.7748252951038094
蓮霧,台北一,0.6600072104875591
芒果,台北一,0.47377558694489086
葡萄,台北一,0.4229307548582868
蘿蔔,台北一,0.472184496068625
胡蘿蔔,台北一,0.9321840641360433
馬鈴薯,台北一,0.9210498073893458
洋蔥,台北一,0.9669242013862988
青蔥,台北一,0.6860289923199316
韭菜,台北一,0.895724631338294
大蒜,台北一,0.6047908234512974
竹筍,台北一,0.42486853420733617
萵苣莖,台北一,0.9097916854070051
芋,台北一,0.7172629264152082
荸薺,台北一,0.9987325336720447
豆薯,台北一,0.9550954882506054
牛蒡,台北一,0.959144121128996
蓮藕,台北一,0.9747669025449771
甘薯,台北一,0.8313008046219428
薑,台北一,0.8564509335870932
茭白筍,台北一,0.9556007565886662
菱角,台北一,0.9592009984151285
大心菜,台北一,0.8632651062625561
薯蕷,台北一,0.5659667535377497
蘆筍,台北一,0.8896979707770762
球莖甘藍,台北一,0.6173002402424179
芽菜類,台北一,0.9936755500494797
金針筍,台北一,0.9648890094494421
晚香玉筍,台北一,0.87950804857182
西瓜,台北一,0.8150853684829117
甜瓜,台北一,0.6756551171545531
洋香瓜,台北一,0.7390543365777176
蘋果,台北一,0.6062270984857261
柿子,台北一,0.569496955541867
柿餅,台北一,0.0
椰子,板橋區,0.17426239847314196
棗子,板橋區,0.9124185120865916
釋迦,板橋區,0.943502952570062
百香果,板橋區,0.8197499944647236
甘蔗,板橋區,0.9989095163049311
小番茄,板橋區,0.5500132668597735
火龍果,板橋區,0.8834424768470601
櫻桃,板橋區,0.6292687934585564
其他,板橋區,0.3712727695169863
香蕉,板橋區,0.8753193740941462
鳳梨,板橋區,0.6781956821309776
椪柑,板橋區,0.6356100721809566
茂谷柑,板橋區,0.8603876017606951
紅柑,板橋區,0.8210386404265693
佛利檬,板橋區,0.8958211965403673
甜橙,板橋區,0.6331251156937452
雜柑,板橋區,0.3493763778727853
黃秋葵,板橋區,0.9656981251294238
花椰菜,板橋區,0.8733374624177825
胡瓜,板橋區,0.8556964729786904
花胡瓜,板橋區,0.812740041392328
冬瓜,板橋區,0.7058346508149439
絲瓜,板橋區,0.770730452540505
苦瓜,板橋區,0.7829958447970679
扁蒲,板橋區,0.8139235007591041
茄子,板橋區,0.7228910754623816
蕃茄,板橋區,0.6603895337113059
甜椒,板橋區,0.5792794617822814
豌豆,板橋區,0.8576153466469252
菜豆,板橋區,0.8983266709657778
敏豆,板橋區,0.7699659753913725
萊豆,板橋區,0.8159838810423117
毛豆,板橋區,0.9099626380598299
青花苔,板橋區,0.6747898902965334
南瓜,板橋區,0.6639651941335647
隼人瓜,板橋區,0.7462776466836437
辣椒,板橋區,0.6889442276410616
虎豆,板橋區,0.894844925294678
玉米,板橋區,0.28114764095767986
落花生,板橋區,0.9816034413712849
蛋黃果,板橋區,0.9472140716571599
栗子,板橋區,
木瓜,板橋區,0.6347465719992506
甘藍,板橋區,0.6852143309910121
小白菜,板橋區,0.7767815915996219
包心白菜,板橋區,0.5700439504439078
包心白,板橋區,0.8773387633999657
青江白菜,板橋區,0.7592357975504422
皇宮菜,板橋區,0.8615348592895493
蕹菜,板橋區,0.7705774698962791
芹菜,板橋區,0.6143591020118868
菠菜,板橋區,0.6242326579876856
萵苣菜,板橋區,0.6220696756325246
芥菜,板橋區,0.7282067510095138
芥藍菜,板橋區,0.8166973962450239
茼蒿,板橋區,0.7107453773669394
油菜,板橋區,0.7659211865572345
甘藷葉,板橋區,0.9148307745222475
芫荽,板橋區,0.8132303164649981
九層塔,板橋區,0.924625361232574
海梨,台北二,0.8532080834021012
越瓜,台北二,0.8845932515966461
雪裡紅,台北二,0.9987328973886013
筍茸,台北二,-2.220446049250313e-16
朴菜,台北二,-2.220446049250313e-16
蛋黃果,台北一,0.887087576313921
黃金果,台北一,0.9261292284123437
栗子,台北一,0.9763026933771077
黑甜仔菜,台北一,0.749388222210944
草莓,板橋區,0.8261411257266235
桶柑,板橋區,0.8358521439375061
海梨,板橋區,0.8855288570570083
龍眼,板橋區,0.8108709592324674
藍莓,台北二,0.5575970130002328
金針花,台北二,0.8954538778618445
柚子,台北二,0.7678151074148729
黑甜仔菜,台北二,0.7452808894082648
蜜棗,台北一,0.0
柚子,台北一,0.8403519626776212
枇杷,台北一,0.672124758486548
其他花類,台北二,-inf
枇杷,台北二,0.8404702799588759
洛神花,台北一,0.7774737890755639
金針花,台北一,0.853669744700421
石榴,台北二,0.9082158806341821
百果,台北二,-inf
西施柚,台北一,0.21321651898650873
半天筍,台北一,0.907069153282374
鵲豆,板橋區,0.0
洛神花,板橋區,0.9268669397408118
半天筍,台北二,0.6664628642307029
波羅蜜,台北一,0.7979540104836799
珍珠菜,台北一,0.6737403124959949
藍莓,板橋區,0.9772625229208438
奇異果,板橋區,0.7586534632405346
莧菜,板橋區,0.8540395227769292
紅鳳菜,板橋區,0.9001276891223515
茴香,板橋區,0.9115453630984359
海菜,板橋區,0.9060392923228741
蕨菜,板橋區,0.7766243126377124
楊桃,板橋區,0.9350334394032199
洋菇,板橋區,0.9806922027407012
草菇,板橋區,0.9977917033241428
濕木耳,板橋區,0.9314410438720842
溼香菇,板橋區,0.997937793107036
金絲菇,板橋區,0.9589007221891535
蠔菇,板橋區,0.9979725377267816
巴西蘑菇,板橋區,0.9761097069020017
秀珍菇,板橋區,0.9602442924331994
杏鮑菇,板橋區,0.9196847028614897
鴻禧菇,板橋區,0.7905277877592112
珊瑚菇,板橋區,0.9370411145361317
猴頭菇,板橋區,0.9747932386569574
其他菇類,板橋區,0.9549772206926509
梨,板橋區,0.31836916003298354
鹹菜,板橋區,0.8736192457578928
熟筍,板橋區,0.9684581664190487
其他蔬菜,板橋區,0.8614750563976729
番石榴,板橋區,0.8360453477389947
蓮霧,板橋區,0.8735892071213428
葡萄,板橋區,0.6988896648776635
蘿蔔,板橋區,0.6280242196819774
胡蘿蔔,板橋區,0.8042301033037477
馬鈴薯,板橋區,0.9076718080020305
洋蔥,板橋區,0.954452240288393
青蔥,板橋區,0.6344575666712104
韭菜,板橋區,0.7074945427701278
大蒜,板橋區,0.8817480268243816
竹筍,板橋區,0.7135883263832876
萵苣莖,板橋區,0.768804720148557
芋,板橋區,0.9327121493100545
豆薯,板橋區,0.9628716526983248
牛蒡,板橋區,0.9187300768518036
蓮藕,板橋區,0.7022723557137374
甘薯,板橋區,0.7186085806927581
薑,板橋區,0.7884759224281648
茭白筍,板橋區,0.9074533255847362
菱角,板橋區,0.8321607640269588
大心菜,板橋區,0.5143480096769892
薯蕷,板橋區,0.4082783324122835
蘆筍,板橋區,0.9206406849551579
球莖甘藍,板橋區,0.9144415073983366
芽菜類,板橋區,0.943763235148267
洋香瓜,板橋區,0.43649632857746
蘋果,板橋區,0.5028912438774606
柿子,板橋區,0.8229507084394789
椰子,三重區,0.6620025814169388
棗子,三重區,0.9569490759608695
釋迦,三重區,0.8371647788923411
草莓,三重區,0.8194617801749946
藍莓,三重區,0.9306358545487045
百香果,三重區,0.791705703398556
甘蔗,三重區,-2.220446049250313e-16
小番茄,三重區,0.5142022898907344
火龍果,三重區,0.8696574611445691
櫻桃,三重區,0.8991405898828383
石榴,三重區,0.0
其他,三重區,0.5702105807433682
香蕉,三重區,0.86349455252595
鳳梨,三重區,0.6695794404744569
椪柑,三重區,0.1258507305931631
茂谷柑,三重區,0.7506481612889349
紅柑,三重區,1.1102230246251565e-16
佛利檬,三重區,0.6559450025892363
桶柑,三重區,0.7079592316619595
海梨,三重區,2.220446049250313e-16
甜橙,三重區,0.7846434123792349
雜柑,三重區,0.1452648579763527
黃秋葵,三重區,0.8994702336165914
花椰菜,三重區,0.8506306984620229
胡瓜,三重區,0.9299753625720776
花胡瓜,三重區,0.8475682444562225
絲瓜,三重區,0.752600219771954
苦瓜,三重區,0.7189619265833391
扁蒲,三重區,0.7399592130166228
茄子,三重區,0.7424388566279208
蕃茄,三重區,0.44323914952383237
甜椒,三重區,0.6978668724394569
豌豆,三重區,0.647055009799691
菜豆,三重區,0.7952904490542235
