品名,地區,判定係數
茴香,台北一,0.0
海菜,台北一,0.989407426757966
菾菜,台北一,0.0
巴西利,台北一,0.0
蕨菜,台北一,0.0
西洋菜,台北一,
藤川七,台北一,0.0
楊桃,台北一,0.0
洋菇,台北一,0.0
草菇,台北一,0.9992056231274129
濕木耳,台北一,0.0
溼香菇,台北一,0.0
金絲菇,台北一,0.0
蠔菇,台北一,0.0
巴西蘑菇,台北一,0.0
秀珍菇,台北一,0.0
杏鮑菇,台北一,0.0
鴻禧菇,台北一,0.0
珊瑚菇,台北一,0.0
猴頭菇,台北一,0.0
柳松菇,台北一,0.0
其他菇類,台北一,0.0
李,台北一,0.0
梨,台北一,0.0
鹹菜,台北一,0.0
雪裡紅,台北一,0.0
其他蔬菜,台北一,0.0
蘿蔔乾,台北一,0.9993269392753308
醃瓜,台北一,0.9990772784129445
熟筍,台北一,0.9623773265168546
桶筍,台北一,0.990521919433322
筍茸,台北一,0.0
朴菜,台北一,0.0
番石榴,台北一,0.0
蓮霧,台北一,0.0
芒果,台北一,0.0
葡萄,台北一,0.0
蘿蔔,台北一,0.9541843971631205
胡蘿蔔,台北一,0.9870981349512646
馬鈴薯,台北一,0.9933474946894915
洋蔥,台北一,0.9981816638591818
青蔥,台北一,0.0
韭菜,台北一,0.9602099430419102
大蒜,台北一,0.0
竹筍,台北一,0.0
萵苣莖,台北一,0.0
芋,台北一,0.9557225041969694
荸薺,台北一,
豆薯,台北一,0.0
牛蒡,台北一,0.9993023566175546
蓮藕,台北一,0.0
甘薯,台北一,0.9689265536723164
薑,台北一,0.9888605917198002
茭白筍,台北一,0.0
菱角,台北一,0.9878153639910825
大心菜,台北一,0.0
薯蕷,台北一,0.0
蘆筍,台北一,0.0
球莖甘藍,台北一,0.0
芽菜類,台北一,0.0
金針筍,台北一,0.9756833608104591
晚香玉筍,台北一,-2.220446049250313e-16
西瓜,台北一,0.0
甜瓜,台北一,0.0
洋香瓜,台北一,0.9485480374168421
蘋果,台北一,0.0
柿子,台北一,0.0
柿餅,台北一,0.0
椰子,板橋區,0.9788539728771898
棗子,板橋區,0.0
釋迦,板橋區,0.0
百香果,板橋區,0.0
甘蔗,板橋區,0.0
小番茄,板橋區,0.0
火龍果,板橋區,0.0
櫻桃,板橋區,-2.220446049250313e-16
其他,板橋區,0.0
香蕉,板橋區,0.9966453578716897
鳳梨,板橋區,0.981321404690393
椪柑,板橋區,0.0
茂谷柑,板橋區,2.220446049250313e-16
紅柑,板橋區,
佛利檬,板橋區,0.0
甜橙,板橋區,0.0
雜柑,板橋區,0.9544854591793678
黃秋葵,板橋區,0.0
花椰菜,板橋區,0.0
胡瓜,板橋區,0.0
花胡瓜,板橋區,0.9438559888728402
冬瓜,板橋區,0.9822927689594356
絲瓜,板橋區,0.0
苦瓜,板橋區,0.9723821650459189
扁蒲,板橋區,0.8719251016337697
茄子,板橋區,0.0
蕃茄,板橋區,-2.220446049250313e-16
甜椒,板橋區,0.0
豌豆,板橋區,0.8556243923082867
菜豆,板橋區,0.0
敏豆,板橋區,0.0
萊豆,板橋區,0.0
毛豆,板橋區,0.987603884199951
青花苔,板橋區,0.0
南瓜,板橋區,0.0
隼人瓜,板橋區,0.0
辣椒,板橋區,0.0
虎豆,板橋區,1.1102230246251565e-16
玉米,板橋區,0.9725190839694656
落花生,板橋區,0.99650199749062
蛋黃果,板橋區,0.9337044502031545
栗子,板橋區,
木瓜,板橋區,0.954239521431489
甘藍,板橋區,0.0
小白菜,板橋區,0.0
包心白菜,板橋區,0.9805520876681926
包心白,板橋區,0.0
青江白菜,板橋區,0.0
皇宮菜,板橋區,0.0
蕹菜,板橋區,0.0
芹菜,板橋區,0.0
菠菜,板橋區,0.0
萵苣菜,板橋區,0.0
芥菜,板橋區,0.0
芥藍菜,板橋區,0.0
茼蒿,板橋區,0.0
油菜,板橋區,0.0
甘藷葉,板橋區,0.9885851534245386
芫荽,板橋區,0.0
九層塔,板橋區,0.0
海梨,台北二,-inf
越瓜,台北二,0.9983753562349547
雪裡紅,台北二,
筍茸,台北二,-inf
朴菜,台北二,-inf
蛋黃果,台北一,0.8764654897970074
黃金果,台北一,0.9576765206425525
栗子,台北一,0.0
黑甜仔菜,台北一,0.9868501336970371
草莓,板橋區,2.220446049250313e-16
桶柑,板橋區,0.0
海梨,板橋區,
龍眼,板橋區,0.0
藍莓,台北二,0.0
金針花,台北二,0.0
柚子,台北二,0.0
黑甜仔菜,台北二,0.8230604831551205
蜜棗,台北一,
柚子,台北一,0.0
枇杷,台北一,0.0
其他花類,台北二,-inf
枇杷,台北二,0.0
洛神花,台北一,0.0
金針花,台北一,0.0
石榴,台北二,0.0
百果,台北二,-inf
西施柚,台北一,0.0
半天筍,台北一,0.0
鵲豆,板橋區,0.0
洛神花,板橋區,0.0
半天筍,台北二,0.9764475460147751
波羅蜜,台北一,0.9601969718548138
珍珠菜,台北一,-2.220446049250313e-16
藍莓,板橋區,0.9717193613903795
奇異果,板橋區,0.0
莧菜,板橋區,0.0
紅鳳菜,板橋區,0.0
茴香,板橋區,0.8862554912430762
海菜,板橋區,0.0
蕨菜,板橋區,0.0
楊桃,板橋區,0.862168654433447
洋菇,板橋區,0.989459323551723
草菇,板橋區,0.9994478139565061
濕木耳,板橋區,0.9585991676056206
溼香菇,板橋區,0.9987908781598853
金絲菇,板橋區,0.0
蠔菇,板橋區,0.0
巴西蘑菇,板橋區,0.0
秀珍菇,板橋區,0.0
杏鮑菇,板橋區,0.0
鴻禧菇,板橋區,0.0
珊瑚菇,板橋區,0.9968057378811921
猴頭菇,板橋區,0.0
其他菇類,板橋區,0.0
梨,板橋區,0.0
鹹菜,板橋區,0.0
熟筍,板橋區,0.9935613423892139
其他蔬菜,板橋區,0.0
番石榴,板橋區,0.8840128680327295
蓮霧,板橋區,0.9594154938148329
葡萄,板橋區,0.0
蘿蔔,板橋區,0.0
胡蘿蔔,板橋區,0.9549569584595854
馬鈴薯,板橋區,0.9995329549399737
洋蔥,板橋區,0.9834156611019539
青蔥,板橋區,0.0
韭菜,板橋區,0.9861618325166489
大蒜,板橋區,0.0
竹筍,板橋區,0.0
萵苣莖,板橋區,0.0
芋,板橋區,0.9953344629355586
豆薯,板橋區,0.0
牛蒡,板橋區,0.0
蓮藕,板橋區,0.0
