品名,XGB,KNN,SVM,RFC,LR
青江白菜,40.03240080593179,41.383464076133954,39.4756508192354,39.54915485162293,41.11369957500221
蘆筍,33.56856305208214,34.49500105782931,32.89248699924181,39.01975429514942,32.88699839723367
奇異果,24.119346495898103,24.69979530096057,20.653989239763405,23.33653464120317,21.24220310205823
西瓜,19.924373572902528,22.082133391911153,19.57464957716206,20.266087684248536,18.84857856138921
草菇,9.506056230511494,8.9731449713153,5.676430385679592,7.871678303580216,7.685100639219736
溼香菇,16.075852820495257,12.093141046293766,8.233570552161767,10.155691567791605,9.78737038929444
火龍果,17.876227595283662,21.7864513933467,18.152455442522278,15.527234602141164,19.15103445219613
甘藍,75.9211796871405,55.33671939839918,50.824455523885014,77.23093774441479,52.33308737476917
熟筍,13.401105766014688,19.823504355079937,14.216578411104779,22.05499242497797,18.119820247692132
香蕉,36.76062143205524,37.93828618687067,30.654551870203765,36.24194867729446,30.737088308115748
