查詢交易日期,查詢市場,日期,市場,產品,上價,中價,下價,平均價(元/公斤),跟前一交易日比較%,交易量(公斤),跟前一交易日比較%
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,H5 葡萄柚 白肉 ,22.0,20.7,16.0,20.0, - 33,162, + 50
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,I1 木瓜 網室紅肉 ,42.0,28.6,14.4,28.4, + 12,"14,418", - 10
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,I3 木瓜 日昇種 ,120.4,64.0,30.0,68.5, -  3,472, +102
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,I4 木瓜 青木瓜 ,24.2,20.0,14.3,19.7, - 15,"1,517", + 83
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,J0 荔枝 其他 ,100.8,73.3,58.6,75.9, -  4,440, +  8
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,J1 荔枝 玉荷包 ,123.3,86.7,66.7,90.0, -  7,"8,927", -  2
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,J2 荔枝 黑葉 ,63.2,44.4,30.7,45.4, + 21,"3,583", + 96
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,J3 荔枝 糯米 ,80.0,80.0,80.0,80.0, + 78,30, - 50
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,J4 荔枝 竹葉黑 ,60.7,44.8,34.9,46.0, -  2,"3,016", + 45
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,N3 李 紅肉李 ,87.1,24.5,15.2,35.2, - 31,643, +  5
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,N9 李 進口 ,33.3,33.3,33.3,33.3,  -  ,240,  -  
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,O0 梨 其他 ,32.6,28.5,22.1,28.0,  -  ,622,  -  
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,O2 梨 秋水梨 ,80.0,69.7,49.4,67.7, -  5,"3,733", + 71
